Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead	
A418FA30 8 February 2016 11_12.obj	95.81	90.94	13.61	34.07	33.28	23.55	23.69	37.79	38.14	47.32	46.99	23.55	23.69	46.00	46.61	53.74	53.11	40.95	41.64	97.11	25.53	19.43	43.34	28.16	29.71	26.96	93.85	13.70	34.99	36.52	137.89	94.98	143.30	35.50	77.33	75.58	24.82	24.82	106.37	106.30	81.72	24.09	24.32	28.16	39.75	95.39	11.67	95.53	99.06	98.26	99.03	77.48	77.53	37.28	36.79	99.07	23.50	47.24	46.66	22.60	22.58	11.61	11.53	39.96	82.17	105.49	43.83	43.20	105.86	106.13	113.38	98.78	78.85	103.55	130.75	13.00	13.73	24.45	25.13	71.65	72.72	95.01	165.44	54.77	56.71	72.25	72.25	84.39	33.29	33.67	40.27	40.62	39.13	93.78	105.49	15.85	16.14	31.65	30.69	37.86	37.73	94.98	82.17	99.06	39.75	39.96	21.85	25.13	41.15	34.07	33.28	13.73	19.00	95.43	60.29	23.34	67.09	56.71	36.79	23.69	28.16	96.30	68.14	53.11	26.96	31.56	49.93	43.79	46.16	49.53	52.68	45.01	54.00	14.55	21.77	16.78	
A419FL21 28 January 2016 11_42.obj	89.30	97.35	19.79	34.67	29.58	23.94	23.98	36.63	35.95	48.27	47.99	23.93	23.98	42.19	43.71	59.39	57.86	46.44	47.03	85.47	17.19	18.00	43.87	30.85	26.31	25.76	85.41	15.54	36.39	36.49	139.54	87.10	145.20	36.03	77.57	78.12	22.89	22.71	107.87	108.18	70.88	23.16	22.68	30.65	33.21	92.81	13.01	87.31	101.69	99.34	101.66	77.96	78.14	35.31	35.14	101.69	25.98	47.92	47.73	22.86	23.11	10.32	10.28	47.81	70.62	108.41	40.13	39.68	109.12	109.36	107.75	100.00	79.05	99.97	135.30	10.87	11.52	22.75	23.22	76.75	76.48	82.65	172.77	56.12	57.12	72.49	72.49	73.35	33.64	32.88	41.05	41.23	34.39	85.88	108.37	15.78	15.65	29.37	29.22	38.80	39.31	87.10	70.62	101.69	33.21	47.81	12.46	23.22	38.82	34.67	29.58	11.52	19.10	88.17	63.90	26.14	70.70	57.12	35.14	23.98	30.85	100.73	69.89	57.86	25.76	34.69	44.58	41.25	45.39	43.77	50.78	46.27	55.38	11.06	21.63	17.58	
A420FA50 8 February 2016 11_16.obj	109.03	90.37	16.74	34.90	36.67	30.46	30.07	45.94	45.62	57.20	56.17	30.46	30.07	53.62	53.70	52.04	53.12	39.08	39.64	111.78	23.19	19.70	46.72	27.87	34.75	35.87	107.78	13.71	46.02	45.33	149.00	113.08	141.67	37.64	73.63	80.61	28.96	29.58	104.29	104.08	95.20	28.37	29.10	27.87	42.84	108.30	10.24	108.71	113.54	113.52	113.15	73.76	73.83	46.71	47.27	113.54	20.50	57.48	56.72	28.71	28.34	10.08	9.86	38.86	99.36	101.50	47.19	50.66	102.25	102.25	125.60	113.17	75.96	110.34	129.59	15.39	13.42	25.67	25.48	71.68	73.92	105.93	162.52	67.90	67.99	68.55	68.55	97.98	44.09	43.17	41.66	39.80	50.76	103.92	101.50	18.03	18.75	38.87	39.97	38.95	41.65	113.08	99.36	113.54	42.84	38.86	25.46	25.48	43.89	34.90	36.67	13.42	20.60	107.97	55.63	20.48	62.43	67.99	47.27	30.07	27.87	94.27	66.40	53.12	35.87	31.27	55.64	48.23	54.63	54.26	58.40	54.44	59.04	11.13	18.18	13.50	
A422FS40 8 February 2016 11_25.obj	102.61	92.38	15.54	25.18	31.69	23.67	26.09	36.07	37.67	46.94	47.48	23.67	24.50	43.42	41.95	56.10	55.45	41.59	42.65	86.24	28.15	20.14	34.53	30.93	31.52	28.43	86.44	12.82	36.57	36.79	142.67	89.20	144.76	33.73	76.84	82.75	25.52	24.89	110.76	107.77	77.77	24.48	24.60	30.93	38.36	98.95	12.39	83.95	106.97	105.73	106.95	76.93	77.05	35.62	36.44	106.97	25.00	46.83	47.19	23.53	24.16	12.12	11.88	36.74	78.22	107.76	42.63	41.38	109.28	109.09	112.70	106.72	78.78	98.91	131.28	11.14	10.17	27.46	27.59	69.31	71.26	95.69	168.48	59.43	59.25	71.76	71.76	76.96	33.85	33.94	41.95	41.06	35.26	97.83	107.76	15.09	16.33	30.42	30.15	40.63	42.12	89.20	78.22	106.97	38.36	36.74	20.21	27.59	39.25	25.18	31.69	10.17	21.10	94.90	62.73	24.78	69.53	59.25	36.44	24.50	30.93	98.41	67.48	55.45	28.43	32.99	52.71	45.06	49.88	52.59	54.63	52.34	54.59	15.39	23.78	21.35	
A423FA36 8 February 2016 11_29.obj	111.02	93.11	18.53	35.90	33.94	25.26	25.99	38.52	39.20	49.69	49.38	25.35	25.99	48.89	49.22	53.80	54.24	39.83	40.73	109.03	26.42	20.44	45.40	31.34	32.52	30.61	104.94	13.52	39.82	39.61	146.11	109.59	142.74	34.35	74.57	88.15	25.87	26.08	105.06	102.37	98.48	24.92	25.35	31.34	39.28	111.32	12.47	102.80	111.46	109.02	111.28	75.29	74.98	39.68	40.09	111.46	25.00	50.50	50.05	24.67	25.44	11.72	11.76	39.39	94.16	105.92	47.60	49.22	106.82	107.17	120.16	109.63	76.60	106.12	128.20	11.65	10.78	26.05	27.69	70.66	73.01	106.41	164.64	62.16	62.85	69.49	69.49	95.67	36.10	35.99	41.89	41.73	42.42	108.15	105.92	16.65	17.05	36.92	34.92	43.12	45.03	109.59	94.16	111.46	39.28	39.39	24.71	27.69	39.79	35.90	33.94	10.78	21.90	110.16	58.47	24.94	65.27	62.85	40.09	25.99	31.34	96.77	65.43	54.24	30.61	33.62	57.96	50.14	55.37	55.58	57.77	53.01	58.40	12.81	21.36	16.43	
A424FA51 8 February 2016 11_33.obj	105.89	90.51	15.18	32.07	32.10	24.88	25.12	43.48	44.11	54.85	55.77	24.88	25.12	47.84	49.40	56.14	56.72	43.06	43.12	95.79	29.19	20.50	42.59	28.76	31.51	31.76	92.96	13.36	42.07	41.89	156.12	96.16	144.53	36.63	75.33	77.86	28.22	27.39	106.75	107.53	80.16	28.16	27.98	28.76	41.95	104.66	12.18	95.79	112.62	111.65	112.60	75.68	76.20	43.87	44.47	112.62	24.00	55.22	56.17	25.15	25.07	9.34	12.24	40.51	82.54	104.09	45.28	47.89	105.40	105.51	116.27	111.39	76.72	103.60	131.21	13.27	10.92	28.72	29.92	73.26	74.08	98.57	168.11	65.01	66.26	70.25	70.25	83.62	39.13	39.58	41.93	41.60	38.65	100.96	104.09	16.27	17.60	33.23	34.05	37.58	40.28	96.16	82.54	112.62	41.95	40.51	21.47	29.92	42.39	32.07	32.10	10.92	19.40	100.80	56.12	24.35	62.92	66.26	44.47	25.12	28.76	94.75	65.99	56.72	31.76	33.34	52.03	48.86	50.57	55.20	57.99	56.71	55.86	13.58	20.05	22.63	
A425FA24 8 February 2016 11_37.obj	107.43	98.58	19.88	31.22	35.48	26.29	26.20	42.77	39.71	53.32	52.26	26.21	26.20	48.74	59.53	55.36	54.57	43.36	44.23	105.15	25.60	20.77	47.36	31.23	30.30	27.24	103.24	16.10	40.47	40.24	162.35	104.37	150.27	34.49	78.70	83.14	26.99	25.49	111.21	110.34	83.36	24.38	24.54	31.23	42.73	109.39	13.42	99.83	117.50	112.81	117.45	79.39	79.19	38.42	38.74	117.50	27.00	50.65	51.65	25.60	25.74	15.38	12.46	39.60	84.39	109.93	42.13	43.84	111.17	110.99	118.42	114.76	80.09	104.55	138.20	15.47	14.61	24.62	27.19	75.79	75.73	100.32	171.82	65.42	66.06	73.62	73.62	86.69	37.92	37.48	43.16	42.11	51.57	103.87	109.93	15.91	16.77	31.90	32.28	40.72	42.42	104.37	84.39	117.50	42.73	39.60	23.59	27.19	42.28	31.22	35.48	14.61	23.50	105.96	63.82	26.84	70.62	66.06	38.74	26.20	31.23	100.39	69.16	54.57	27.24	33.24	54.95	48.86	53.23	54.08	59.04	53.95	63.50	11.35	21.90	15.47	
A426FA25 8 February 2016 11_44.obj	86.72	95.30	16.13	31.37	30.65	22.92	23.30	37.96	37.44	45.51	45.33	22.93	23.30	40.56	42.04	59.25	59.50	47.32	48.67	88.93	26.85	20.37	42.07	25.69	27.08	25.10	84.72	11.53	34.40	34.01	135.52	87.65	145.10	32.13	79.16	66.59	23.51	23.94	106.21	102.37	74.06	23.98	23.80	25.69	42.82	90.01	12.01	88.10	96.77	95.64	95.80	79.84	79.78	35.15	34.80	96.77	24.00	42.42	42.10	22.31	22.80	15.15	12.08	39.40	73.48	104.86	38.04	39.47	105.53	105.56	108.05	94.95	Unavailable	98.85	132.06	12.08	10.76	23.76	24.85	76.32	78.44	81.93	168.27	52.62	53.47	74.08	74.08	75.09	33.42	32.64	41.62	41.22	36.76	84.39	104.86	16.20	16.09	27.83	28.71	32.42	34.18	87.65	73.48	96.77	42.82	39.40	22.24	24.85	40.71	31.37	30.65	10.76	15.60	87.64	58.61	24.01	65.41	53.47	34.80	23.30	25.69	95.51	69.82	59.50	25.10	36.66	43.71	40.62	43.43	43.14	49.36	45.95	50.77	9.56	19.19	17.63	
A427FA24 8 February 2016 11_49.obj	92.10	96.52	19.35	29.65	30.09	23.02	23.79	37.43	36.99	47.57	48.07	23.04	23.79	42.57	43.30	54.52	54.94	42.69	43.32	91.16	23.39	18.59	41.51	29.59	29.20	25.99	88.45	13.14	36.42	36.59	141.52	92.18	145.21	32.31	77.17	77.21	25.36	23.63	107.34	106.17	72.77	23.11	23.03	29.59	38.75	96.57	13.15	86.82	103.51	100.85	103.13	78.18	78.21	36.41	35.68	103.50	26.50	46.13	46.67	22.87	22.95	12.06	12.14	36.79	72.87	106.76	39.60	40.23	107.95	108.05	107.78	101.49	78.20	97.04	132.92	12.21	12.83	25.60	27.89	71.84	72.79	85.93	167.72	60.11	60.44	72.09	72.09	75.18	35.27	34.63	41.75	42.19	39.87	88.81	106.76	15.64	15.57	30.20	28.96	37.21	40.00	92.18	72.87	103.51	38.75	36.79	19.65	27.89	43.55	29.65	30.09	12.83	20.10	92.17	61.57	26.31	68.37	60.44	35.68	23.79	29.59	97.44	67.85	54.94	25.99	33.64	44.97	43.77	43.91	48.07	55.16	48.86	54.60	10.24	21.35	16.64	
A429FA47 8 February 2016 11_56.obj	101.38	86.89	16.17	22.64	32.03	23.60	24.08	39.39	38.99	45.77	45.54	23.57	24.08	44.19	52.62	52.09	47.70	36.70	35.04	94.34	26.83	20.93	37.48	31.16	31.51	32.81	95.67	17.84	38.43	37.75	148.26	97.18	133.11	35.33	70.72	83.06	26.37	27.95	102.34	102.60	81.60	26.47	27.65	31.16	35.31	95.81	8.24	89.67	102.15	100.72	95.72	71.45	71.61	37.87	37.09	102.15	16.50	44.15	43.37	23.09	23.74	11.54	11.43	38.00	82.32	101.88	49.73	49.71	103.73	102.77	118.28	99.40	75.36	104.10	122.19	10.98	12.29	26.88	27.29	65.47	65.40	97.17	156.67	53.77	54.52	65.64	65.64	81.44	37.58	36.23	39.44	39.32	43.16	98.63	101.88	15.82	16.45	34.32	33.21	40.22	42.84	97.18	82.32	102.15	35.31	38.00	23.10	27.29	36.42	22.64	32.03	12.29	20.60	97.43	60.37	16.48	67.17	54.52	37.09	24.08	31.16	93.17	62.02	47.70	32.81	28.16	54.79	43.79	52.44	48.86	49.51	52.51	49.60	14.99	21.77	18.61	
A430FA37 8 February 2016 12_00.obj	85.87	95.10	20.09	27.79	30.59	26.19	26.15	41.08	38.28	48.68	46.80	26.39	26.15	41.22	40.29	54.24	57.43	43.34	45.58	90.22	21.70	18.92	41.44	30.31	26.79	24.66	84.31	12.15	38.01	39.04	147.01	88.48	144.93	33.54	75.01	78.51	23.63	23.34	109.01	106.25	73.50	24.27	23.99	30.31	38.47	89.59	12.56	88.29	101.20	98.75	101.20	75.59	75.55	35.88	36.41	101.21	25.00	44.08	45.11	26.10	25.95	12.08	11.88	38.26	72.06	105.32	38.20	39.41	106.57	106.06	108.07	100.89	76.93	98.76	131.90	13.84	10.16	22.81	24.28	71.76	75.89	80.86	167.60	54.35	55.18	69.93	69.93	80.64	35.04	35.83	41.66	42.41	39.82	82.05	105.32	16.06	16.00	26.80	27.86	37.76	40.75	88.48	72.06	101.20	38.47	38.26	18.84	24.28	41.57	27.79	30.59	10.16	16.70	86.02	61.26	25.11	68.06	55.18	36.41	26.15	30.31	96.01	65.70	57.43	24.66	31.77	42.02	39.95	41.01	44.73	52.08	49.10	52.05	10.22	23.39	15.13	
A431FD39 8 February 2016 12_06.obj	123.72	92.23	10.66	36.93	36.49	26.08	26.35	43.81	45.34	66.57	66.70	26.04	26.35	60.11	60.24	55.68	51.93	42.70	41.26	115.29	27.71	20.30	51.65	26.02	41.33	40.67	109.17	16.13	41.99	42.01	140.99	113.06	146.00	37.53	81.57	82.13	30.60	31.01	107.19	106.48	95.20	30.17	30.57	26.02	41.19	122.66	12.76	111.98	127.60	125.15	125.48	81.87	82.03	51.01	49.37	127.60	25.50	68.00	68.71	23.26	22.82	14.98	15.15	40.40	94.60	107.59	52.12	52.59	109.26	108.85	138.07	124.81	81.73	123.24	133.25	16.57	17.28	28.68	30.24	77.21	77.53	108.34	167.91	80.39	82.77	76.49	76.49	97.95	41.23	40.61	41.00	41.15	48.25	113.82	107.59	18.24	17.72	44.03	44.10	38.30	43.82	113.06	94.60	127.60	41.19	40.40	25.80	30.24	42.56	36.93	36.49	17.28	21.40	118.11	60.11	25.52	66.91	82.77	49.37	26.35	26.02	98.27	72.24	51.93	40.67	32.67	57.91	55.85	58.89	64.74	65.54	60.91	66.65	15.37	18.25	17.07	
A432FA45 8 February 2016 12_13.obj	90.58	91.71	18.98	31.98	29.19	26.31	27.54	54.16	39.36	54.11	47.14	26.19	27.54	47.41	45.24	56.28	54.61	42.42	43.27	93.09	26.12	19.96	41.96	29.59	30.59	28.91	86.33	11.66	38.67	39.29	141.57	92.26	136.94	35.13	72.73	77.73	27.39	26.05	100.32	96.30	80.54	25.48	26.29	29.59	39.34	92.26	12.03	89.14	103.73	101.88	103.70	72.92	72.90	36.88	36.16	103.73	24.00	45.11	45.03	26.32	26.98	11.30	11.23	56.52	74.24	102.32	45.37	42.68	103.13	103.50	104.07	103.03	74.48	98.37	124.65	12.15	12.60	25.98	25.65	71.95	74.60	85.43	159.87	54.14	56.59	67.65	67.65	78.00	35.62	35.22	39.72	40.32	40.39	88.88	102.32	17.84	18.15	30.11	29.28	39.14	38.59	92.26	74.24	103.73	39.34	56.52	26.06	25.65	38.14	31.98	29.19	12.60	19.10	90.71	59.68	24.06	66.48	56.59	36.16	27.54	29.59	93.44	63.85	54.61	28.91	33.99	46.94	41.88	44.19	46.29	53.96	47.61	56.07	10.61	21.86	13.57	
A436FA57 26 February 2016 10_54.obj	95.36	89.03	15.87	27.39	31.28	26.45	26.67	38.02	38.25	43.06	43.55	26.55	26.67	43.87	45.55	53.67	53.19	40.93	39.56	88.00	25.60	19.12	40.53	30.56	28.77	27.78	86.07	12.01	35.67	35.75	141.09	89.06	141.64	32.13	73.16	78.61	25.55	25.82	105.79	105.08	75.18	24.07	25.31	30.56	36.51	94.80	12.82	87.67	97.55	94.92	97.55	73.41	73.33	35.73	35.45	97.55	25.50	42.10	42.31	25.85	25.57	17.20	14.34	37.90	75.31	103.72	41.38	44.07	104.70	104.72	110.84	96.00	74.71	102.44	127.01	11.04	12.03	25.92	26.24	70.61	70.40	92.62	163.68	53.37	53.76	68.08	68.08	77.76	33.80	33.54	39.47	39.84	38.69	93.10	103.72	16.73	17.34	30.25	30.70	37.68	40.93	89.06	75.31	97.55	36.51	37.90	19.33	26.24	38.45	27.39	31.28	12.03	19.10	92.30	60.74	25.65	67.54	53.76	35.45	26.67	30.56	94.63	64.07	53.19	27.78	30.50	47.99	45.06	45.77	49.47	50.78	44.33	53.17	14.69	21.69	19.55	
A437FA54 26 February 2016 11_05.obj	151.85	92.71	16.00	40.45	43.40	31.03	30.87	49.36	49.95	67.04	67.40	31.08	30.87	59.06	53.88	55.30	53.80	37.00	39.33	133.46	24.82	19.71	46.77	29.75	40.62	37.97	130.72	20.70	51.69	51.90	158.74	133.58	147.23	38.64	76.72	94.20	31.39	31.76	108.52	105.73	114.88	31.43	31.35	29.75	42.15	139.25	7.73	126.67	153.21	148.60	143.44	76.92	77.45	46.30	48.04	153.21	15.50	64.78	65.98	29.25	29.25	10.77	10.52	41.49	114.92	106.46	56.22	53.96	110.06	110.48	141.74	150.59	81.23	125.52	132.14	14.30	15.57	29.96	31.45	74.33	76.24	135.75	169.44	81.22	85.12	71.64	71.64	114.23	47.20	47.63	43.39	43.60	55.57	144.62	106.46	19.16	19.96	42.48	41.45	47.01	47.18	133.58	114.92	153.21	42.15	41.49	25.43	31.45	48.09	40.45	43.40	15.57	28.70	146.15	62.47	15.46	69.27	85.12	48.04	30.87	29.75	98.93	69.19	53.80	37.97	33.35	77.93	66.64	80.87	70.88	71.10	82.07	71.11	13.75	18.94	14.58	
A438FA57 26 February 2016 11_15.obj	101.40	96.44	14.03	25.93	30.70	27.39	27.69	54.35	44.59	57.55	55.31	27.41	27.69	66.29	51.77	154.17	87.41	122.22	128.74	105.02	30.25	20.27	41.78	29.67	51.05	Unavailable	101.30	16.38	41.59	43.33	146.90	102.85	148.43	35.78	82.41	83.76	54.49	Unavailable	119.21	0.03	83.61	66.81	Unavailable	29.67	39.93	99.02	8.08	97.36	107.35	105.62	102.01	82.59	82.66	41.25	43.42	107.28	16.00	51.82	54.93	26.12	25.23	15.32	16.12	41.61	91.71	112.08	61.95	52.06	95.92	114.83	118.58	103.51	86.68	105.95	135.03	13.18	11.75	32.23	33.12	165.50	163.38	99.43	173.45	58.86	62.05	77.33	77.33	92.47	39.23	40.47	42.61	44.03	49.25	101.61	112.08	0.00	Unavailable	55.06	40.84	41.02	42.74	102.85	91.71	107.35	39.93	41.61	25.27	33.12	42.66	25.93	30.70	11.75	23.70	100.48	63.46	16.16	70.26	62.05	43.42	27.69	29.67	102.45	72.77	87.41	Unavailable	142.44	50.74	50.60	45.88	55.32	57.07	55.13	52.05	15.64	21.19	20.86	
A439FA57 26 February 2016 11_20.obj	99.65	86.77	14.44	26.50	33.07	25.17	24.84	40.20	39.78	45.88	46.65	25.39	24.84	45.51	52.91	56.40	50.89	40.07	35.56	97.30	25.19	20.83	35.67	31.09	31.67	31.19	94.23	12.51	36.61	35.46	133.23	96.92	134.77	36.96	72.33	80.35	26.96	28.87	102.79	102.47	82.56	26.05	27.44	31.09	34.17	96.59	11.35	92.26	101.14	101.13	100.50	72.92	72.78	38.44	38.07	101.15	22.50	45.12	45.45	23.98	24.72	14.52	11.34	41.05	83.01	103.42	48.56	50.31	104.54	104.24	113.65	101.12	74.98	98.21	124.28	8.53	9.43	25.82	24.99	68.22	65.59	97.14	159.43	54.96	55.50	67.25	67.25	83.87	35.54	34.50	38.02	36.03	41.78	97.79	103.42	15.95	15.99	33.06	34.90	38.88	41.46	96.92	83.01	101.14	34.17	41.05	21.94	24.99	33.60	26.50	33.07	9.43	19.60	94.78	60.99	22.70	67.79	55.50	38.07	24.84	31.09	94.56	63.47	50.89	31.19	29.71	50.13	47.59	45.96	53.54	55.22	45.85	55.22	16.64	20.48	18.55	
A440FA60 26 February 2016 11_29.obj	83.91	92.95	19.05	29.57	29.29	24.41	24.65	35.33	34.27	38.56	39.11	24.37	24.65	41.98	43.79	50.98	50.98	41.91	40.91	82.63	23.93	19.08	41.14	28.68	24.19	23.57	78.88	9.98	32.90	33.91	137.60	83.28	137.20	29.32	73.90	71.19	22.61	21.49	100.68	100.70	66.46	21.74	20.82	28.68	36.83	86.72	11.86	80.22	91.26	90.47	91.24	74.03	74.12	34.43	33.08	91.27	24.00	38.19	37.96	23.11	23.66	11.36	11.31	37.61	63.85	102.58	38.34	44.78	103.99	103.96	102.42	90.33	75.47	93.47	126.34	13.38	11.78	24.68	24.16	69.80	69.08	77.65	159.07	46.59	47.99	68.82	68.82	71.04	31.08	30.87	37.89	39.50	42.19	80.88	102.58	14.98	14.72	27.98	26.16	34.47	36.72	83.28	63.85	91.26	36.83	37.61	20.22	24.16	36.09	29.57	29.29	11.78	20.40	84.78	59.35	23.72	66.15	47.99	33.08	24.65	28.68	93.74	65.07	50.98	23.57	31.59	39.57	41.24	38.40	45.34	49.51	41.69	49.50	9.63	19.94	15.70	
A441FA61 26 February 2016 11_36.obj	110.55	95.37	20.09	35.61	37.34	29.18	28.44	46.65	40.73	54.40	48.53	29.15	28.44	47.17	49.21	57.08	57.45	39.79	41.37	111.50	25.39	21.21	41.38	32.50	34.23	34.70	107.54	13.63	39.82	39.62	154.29	110.19	146.42	37.60	75.29	88.98	28.06	29.78	112.23	110.41	93.62	27.95	29.88	32.50	43.10	108.78	8.44	105.83	111.16	109.80	108.45	75.55	75.75	41.96	40.54	111.15	17.00	48.55	48.55	27.94	28.25	15.09	12.07	40.94	95.77	107.79	47.17	49.39	108.48	108.67	126.45	109.31	80.22	111.71	135.04	13.39	14.37	26.33	23.98	74.69	74.83	107.07	170.47	62.75	62.39	70.21	70.21	94.58	39.51	37.87	40.16	40.52	46.16	107.63	107.79	18.28	19.52	36.34	36.11	43.55	45.43	110.19	95.77	111.16	43.10	40.94	23.35	23.98	40.82	35.61	37.34	14.37	22.60	110.20	62.02	16.88	68.82	62.39	40.54	28.44	32.50	98.32	65.82	57.45	34.70	33.32	59.97	47.59	55.37	55.07	55.23	52.05	59.07	12.41	22.18	17.13	
A442FA51 26 February 2016 11_42.obj	85.21	84.57	17.82	32.99	33.18	25.81	26.06	37.65	39.32	44.22	44.93	25.87	26.06	45.55	43.39	51.20	51.55	37.53	38.66	96.32	23.06	19.44	38.14	27.66	32.47	30.36	91.17	12.44	38.61	43.43	152.22	94.16	133.83	33.63	66.75	71.35	25.22	24.81	99.40	98.81	74.72	25.00	25.32	27.66	39.60	88.14	11.87	95.01	97.08	95.79	96.80	66.92	67.13	37.25	38.50	97.08	24.00	43.88	45.40	26.12	26.28	8.74	8.74	47.63	76.28	94.41	45.29	45.39	95.04	94.73	113.45	94.32	67.99	103.52	121.15	12.41	10.73	22.50	24.20	66.39	69.19	83.21	157.42	54.30	56.69	61.67	61.67	81.51	36.44	36.28	41.03	37.68	39.76	83.85	94.41	17.48	17.30	33.12	31.50	36.59	34.76	94.16	76.28	97.08	39.60	47.63	20.65	24.20	40.01	32.99	33.18	10.73	19.80	85.93	51.64	23.74	58.44	56.69	38.50	26.06	27.66	85.67	58.00	51.55	30.36	29.91	43.18	40.60	42.67	42.44	48.25	46.21	50.82	9.84	18.14	16.31	
A443FA64 26 February 2016 11_48.obj	110.71	94.32	17.73	35.26	35.55	32.44	29.17	44.86	45.40	55.99	55.31	31.10	29.17	48.77	49.69	56.18	56.84	38.15	40.66	101.04	30.88	21.58	37.09	29.45	35.58	30.82	98.93	14.84	43.41	42.61	149.69	100.01	145.30	36.17	76.59	80.52	29.55	27.94	109.44	106.18	85.57	27.26	26.94	29.45	44.09	101.96	8.08	97.22	114.14	114.03	113.87	77.01	77.28	43.97	42.72	114.14	16.50	55.85	53.65	29.17	28.08	15.82	15.26	43.30	86.24	106.04	50.69	51.51	107.34	107.72	119.35	114.11	80.79	108.82	131.78	8.50	10.48	28.63	27.73	69.38	73.33	98.56	171.32	63.73	63.82	71.51	71.51	90.46	42.81	41.85	42.53	42.24	39.37	104.79	106.04	17.39	17.98	35.98	34.14	40.26	40.26	100.01	86.24	114.14	44.09	43.30	26.75	27.73	41.21	35.26	35.55	10.48	19.50	107.77	61.05	16.16	67.85	63.82	42.72	29.17	29.45	96.53	67.07	56.84	30.82	35.79	52.69	52.04	54.69	55.86	57.77	57.61	56.50	11.73	16.81	21.33	
