Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A169FA20 March 19 2015 03_00.obj	84.74	92.47	17.49	26.08	29.59	23.05	22.83	39.27	37.90	45.42	46.52	23.09	22.83	42.83	40.50	53.61	54.99	42.92	43.90	85.31	23.37	19.79	38.23	27.17	27.39	25.33	78.38	11.73	37.17	36.73	132.60	80.09	140.63	32.45	74.98	70.08	24.38	22.73	103.31	102.01	70.60	23.26	22.66	27.17	38.14	87.65	12.50	85.17	99.65	96.69	98.47	76.27	75.89	37.47	37.30	99.65	25.00	44.86	45.33	21.98	22.35	11.54	11.41	36.44	71.73	102.16	37.63	38.37	103.33	102.96	101.08	95.15	75.67	91.18	128.00	11.67	10.88	21.99	21.83	70.10	70.76	83.03	161.86	55.12	56.53	69.90	69.90	70.67	35.47	34.55	40.07	40.14	37.28	83.88	102.16	15.84	15.21	29.62	28.75	34.18	35.91	80.09	71.73	99.65	38.14	36.44	18.44	21.83	36.41	26.08	29.59	10.88	17.60	85.20	58.29	25.00	65.09	56.53	37.30	22.83	27.17	93.17	65.99	54.99	25.33	33.28	42.58	41.24	42.73	41.86	48.24	50.10	49.50	9.69	18.99	17.15	12.15	0.80	
A170FA22 March 19 2015 03_07.obj	85.30	87.58	16.94	29.91	29.87	24.32	23.39	36.07	36.83	44.74	44.97	22.85	23.39	37.53	41.61	53.72	51.25	40.59	40.46	87.69	21.64	19.01	38.97	26.61	26.34	27.20	82.54	14.55	36.25	35.91	135.82	86.32	135.64	32.07	70.64	70.25	24.23	24.23	100.55	100.25	66.05	23.28	23.46	26.61	36.55	88.63	12.24	83.40	92.91	92.46	92.75	71.46	71.73	34.54	35.80	92.91	24.50	44.12	44.57	23.10	23.26	11.32	13.41	37.04	67.38	97.25	36.65	38.14	98.32	98.19	106.47	91.64	71.31	95.00	121.91	9.13	11.86	24.14	24.57	69.37	68.36	78.28	156.71	53.42	53.92	65.56	65.56	70.97	33.36	33.23	38.82	37.44	38.85	79.87	97.25	15.76	15.49	27.19	27.50	34.29	35.97	86.32	67.38	92.91	36.55	37.04	18.20	24.57	40.76	29.91	29.87	11.86	19.40	86.19	55.79	24.48	62.59	53.92	35.80	23.39	26.61	88.54	61.93	51.25	27.20	28.37	43.01	36.80	39.42	45.74	49.50	44.28	48.58	9.67	18.11	15.33	11.74	0.94	
A171FR29 March 19 2015 03_12.obj	82.01	90.12	16.75	27.95	29.16	25.66	23.52	37.46	36.44	42.96	42.46	24.17	23.52	36.57	40.22	61.72	52.57	48.92	41.88	84.29	21.03	19.23	35.39	26.51	24.31	23.01	82.20	12.50	37.48	37.82	137.14	84.66	139.15	32.18	73.37	69.68	23.12	22.38	103.16	100.92	67.26	22.77	22.60	26.51	37.34	85.45	12.19	82.01	91.63	91.21	91.37	74.83	74.22	36.84	36.13	91.63	24.00	42.83	42.41	22.78	22.28	11.52	11.28	37.52	69.37	99.88	36.09	39.41	100.71	100.71	100.92	90.71	74.04	91.89	126.23	9.84	9.58	24.48	23.79	74.86	69.47	78.77	161.93	50.99	51.23	68.29	68.29	73.10	35.00	34.28	38.87	38.37	35.20	80.29	99.88	18.41	14.81	26.52	26.97	34.86	34.83	84.66	69.37	91.63	37.34	37.52	17.74	23.79	39.32	27.95	29.16	9.58	18.70	82.54	56.84	24.37	63.64	51.23	36.13	23.52	26.51	90.89	64.37	52.57	23.01	31.99	43.44	36.80	41.93	39.97	46.34	39.98	51.60	9.76	19.07	15.57	12.08	0.83	
A172FL22a March 19 2015 03_31.obj	88.89	89.87	18.97	26.29	28.38	22.59	22.73	36.94	35.03	43.97	43.49	22.54	22.73	41.87	45.68	52.84	53.56	41.62	42.65	89.66	19.77	18.29	36.75	29.54	26.46	25.24	85.54	10.77	34.71	35.07	131.97	88.76	136.58	36.27	70.90	75.91	23.72	23.13	100.05	98.45	73.03	22.82	22.73	29.54	32.67	89.83	12.24	83.89	95.78	92.96	95.77	71.76	71.39	34.77	33.89	95.78	24.50	42.70	42.80	22.30	22.16	11.22	11.15	40.54	71.11	100.44	38.74	44.51	101.40	101.36	106.98	93.33	74.33	91.65	124.13	11.52	11.92	25.61	26.11	68.70	69.58	84.36	156.81	52.21	53.20	65.82	65.82	71.03	32.97	32.67	38.66	38.02	39.29	86.85	100.44	15.52	15.37	31.90	28.98	37.52	38.39	88.76	71.11	95.78	32.67	40.54	17.15	26.11	37.20	26.29	28.38	11.92	19.90	88.80	58.84	24.48	65.64	53.20	33.89	22.73	29.54	91.73	62.19	53.56	25.24	32.41	46.82	39.98	43.07	45.68	49.63	44.95	50.78	10.57	20.65	16.56	13.56	0.93	
A173FA20b March 19 2015 03_36.obj	92.13	88.35	16.35	27.67	30.70	21.53	22.35	37.19	36.76	44.07	44.62	21.53	21.16	39.66	43.51	55.23	54.93	43.63	42.96	87.12	27.24	19.98	38.59	25.97	27.24	25.70	81.33	13.04	36.09	35.71	140.44	84.39	136.67	34.06	72.01	67.82	24.78	24.02	100.30	98.34	76.23	24.38	23.59	25.97	40.81	92.68	11.34	86.77	102.37	101.72	102.02	73.33	72.59	36.07	35.20	102.37	22.50	43.50	43.78	21.73	21.35	10.69	10.69	38.22	79.09	97.98	38.58	41.82	98.62	98.68	109.33	97.97	74.44	99.98	123.51	11.89	9.49	25.46	27.09	71.62	71.66	88.91	160.38	53.72	55.93	66.93	66.93	75.13	35.16	34.09	39.40	39.17	38.49	90.52	97.98	16.82	16.00	29.47	28.74	33.83	33.99	84.39	79.09	102.37	40.81	38.22	20.48	27.09	42.23	27.67	30.70	9.49	18.20	92.56	54.74	22.67	61.54	55.93	35.20	21.16	25.97	87.29	61.32	54.93	25.70	33.74	44.78	45.69	47.59	44.42	49.50	47.58	54.74	9.63	16.71	19.75	12.51	0.70	
A174FA22 March 23 2015 11_39.obj	80.80	99.31	20.66	30.09	29.50	21.50	23.15	36.29	35.28	42.64	42.19	21.50	21.99	36.10	39.71	56.67	55.49	44.97	44.89	87.49	18.34	18.53	39.36	31.77	23.63	24.68	78.97	14.53	33.17	34.13	140.33	84.06	150.02	32.63	78.65	76.61	21.63	22.63	111.44	109.29	64.91	21.67	21.75	31.77	34.93	85.87	14.40	83.34	92.73	89.62	92.45	79.61	79.27	34.90	34.69	92.73	28.50	41.20	41.92	21.61	22.01	14.15	14.11	42.07	64.99	110.42	34.87	37.35	112.23	110.94	104.07	91.61	79.59	93.95	135.95	11.54	9.33	24.38	22.88	72.68	73.70	73.74	174.00	49.13	49.86	73.57	73.57	78.13	32.57	33.05	40.77	41.37	37.62	75.17	110.42	15.69	15.58	26.60	28.56	36.76	39.84	84.06	64.99	92.73	34.93	42.07	16.64	22.88	39.98	30.09	29.50	9.33	19.10	79.23	63.23	28.80	70.03	49.86	34.69	21.99	31.77	98.82	67.05	55.49	24.68	32.53	38.95	36.17	38.24	42.47	49.15	42.53	50.14	11.11	24.48	14.45	11.87	0.52	
A175FA21 March 23 2015 11_44.obj	91.14	95.96	18.78	33.87	28.60	23.83	23.52	37.33	35.13	46.75	44.04	23.98	23.52	43.82	47.21	54.90	54.91	42.83	44.27	90.23	23.56	18.78	40.15	29.07	28.59	25.90	89.76	13.90	36.25	36.22	144.70	91.39	148.82	36.73	77.18	74.05	25.90	25.04	108.41	107.71	72.38	25.26	24.42	29.07	39.83	92.46	11.14	86.57	98.23	97.64	97.77	78.07	77.65	35.33	33.89	98.24	22.50	42.70	42.82	23.27	23.03	12.12	11.92	41.70	75.29	106.25	40.67	44.95	106.88	106.86	108.02	96.34	79.32	98.73	133.91	10.59	11.09	23.61	24.23	72.19	72.34	88.17	169.77	55.13	54.52	72.10	72.10	72.32	33.98	33.04	42.42	41.69	34.25	89.04	106.25	15.61	15.90	31.02	29.57	36.41	37.65	91.39	75.29	98.23	39.83	41.70	18.53	24.23	40.33	33.87	28.60	11.09	17.60	91.19	61.00	22.29	67.80	54.52	33.89	23.52	29.07	96.82	67.75	54.91	25.90	33.95	45.83	43.14	43.54	47.47	51.40	46.76	51.42	10.29	18.51	17.68	12.67	0.61	
A176FA24 March 23 2015 11_50.obj	82.86	85.87	14.89	32.29	30.70	22.54	23.00	37.16	34.33	43.81	42.13	22.47	23.00	38.75	41.44	53.29	54.47	41.48	43.35	90.15	19.45	18.81	38.87	23.76	24.75	24.81	84.05	12.80	35.08	34.63	140.24	88.31	139.77	31.08	70.98	61.85	22.93	22.65	102.72	100.02	71.14	22.60	22.20	23.76	41.13	84.89	11.08	87.11	96.82	96.22	95.15	71.70	71.70	35.16	34.87	96.82	22.00	42.92	42.67	22.26	22.03	11.31	11.16	36.10	79.73	94.74	37.02	38.67	95.37	95.21	105.68	91.45	71.48	96.27	125.23	12.26	10.01	22.55	22.16	69.32	71.27	82.65	161.17	51.49	52.08	65.90	65.90	74.76	32.61	32.34	37.98	38.33	38.55	83.55	94.74	15.23	15.40	27.29	27.78	30.22	31.63	88.31	79.73	96.82	41.13	36.10	17.82	22.16	44.33	32.29	30.70	10.01	19.50	83.61	52.96	22.16	59.76	52.08	34.87	23.00	23.76	85.78	62.03	54.47	24.81	31.05	40.98	42.51	42.70	39.97	45.07	43.15	53.61	8.86	15.17	13.44	11.74	0.48	
A177FA28 March 23 2015 12_00.obj	72.06	95.83	19.41	32.96	27.74	22.51	24.09	35.74	35.32	39.78	39.60	22.51	23.03	34.57	34.39	52.75	54.13	44.38	45.55	78.23	22.20	19.07	39.03	28.44	21.92	21.14	77.90	12.49	34.97	34.83	135.81	80.12	145.25	29.58	76.42	69.93	22.85	22.40	107.64	105.01	59.55	22.34	21.99	28.44	37.72	79.72	13.97	78.46	88.36	85.56	86.91	78.14	77.36	35.83	35.23	88.37	28.00	40.16	39.80	22.67	23.30	11.06	11.06	34.04	59.08	104.86	31.29	31.84	106.05	105.80	101.04	85.80	76.58	90.87	131.01	12.83	10.85	21.77	21.03	70.56	71.21	67.40	165.87	45.80	45.80	71.34	71.34	72.37	32.91	32.31	40.39	40.29	33.47	69.94	104.86	15.91	15.88	24.21	22.84	34.79	35.14	80.12	59.08	88.36	37.72	34.04	16.40	21.03	36.78	32.96	27.74	10.85	15.20	73.86	59.12	27.94	65.92	45.80	35.23	23.03	28.44	93.81	65.36	54.13	21.14	32.41	32.41	37.44	34.49	37.43	45.06	40.44	47.85	9.03	20.73	16.13	9.93	0.93	
A178FA35a March 23 2015 12_35.obj	95.21	83.43	15.87	32.79	32.76	21.23	20.81	34.37	38.95	42.68	44.52	19.98	20.81	38.82	39.67	52.94	52.29	39.86	41.95	97.76	23.62	19.90	37.61	25.76	24.83	24.18	95.34	16.44	32.09	33.42	136.89	97.13	134.03	38.08	67.56	70.38	23.42	22.87	98.65	94.54	84.16	23.06	22.66	25.76	41.88	93.09	6.60	93.93	96.40	94.40	94.36	71.54	70.06	33.84	33.94	96.40	13.50	38.29	39.74	19.05	20.40	12.43	12.36	53.17	86.44	93.32	39.98	40.92	93.67	93.62	110.29	94.22	71.53	100.08	120.17	12.47	10.49	24.01	25.39	67.31	70.71	91.87	154.80	48.44	49.51	62.48	62.48	89.64	30.92	31.66	35.62	35.34	39.86	93.60	93.32	16.14	16.18	26.47	28.49	33.56	36.82	97.13	86.44	96.40	41.88	53.17	21.28	25.39	43.69	32.79	32.76	10.49	20.80	95.63	52.59	13.20	59.39	49.51	33.94	20.81	25.76	83.00	57.24	52.29	24.18	32.29	45.95	47.60	46.32	48.76	49.88	51.28	45.07	9.89	21.43	14.71	11.69	0.30	
A179FG36 March 23 2015 12_18.obj	91.94	87.67	18.47	26.23	32.27	24.39	24.49	38.83	39.18	48.47	49.38	24.45	24.49	40.88	41.40	50.94	50.40	39.20	39.50	90.99	23.56	18.64	36.05	28.48	28.36	28.34	89.14	14.15	39.08	39.00	137.64	92.04	135.60	30.87	69.20	75.24	26.09	25.16	100.24	101.15	72.92	25.78	25.98	28.48	37.03	95.43	12.45	86.07	105.53	103.13	105.24	69.90	69.88	37.87	38.11	105.53	25.00	47.90	48.56	24.60	24.37	8.76	11.09	34.26	71.81	97.68	39.33	40.27	99.64	99.03	109.14	103.17	70.33	97.51	121.76	11.19	10.13	26.22	25.18	65.28	67.12	84.01	157.61	58.27	59.84	64.12	64.12	76.41	36.72	36.37	37.38	37.38	40.13	86.86	97.68	16.67	16.76	33.57	30.39	36.59	38.64	92.04	71.81	105.53	37.03	34.26	19.05	25.18	38.90	26.23	32.27	10.13	19.90	92.23	56.94	24.90	63.74	59.84	38.11	24.49	28.48	88.93	60.45	50.40	28.34	28.35	44.92	41.88	42.81	49.00	53.65	51.53	53.96	10.01	20.37	16.70	12.18	1.35	
A181FA38a March 23 2015 12_43.obj	86.93	82.29	17.13	33.06	28.59	21.67	22.35	35.37	34.57	41.86	42.15	21.67	21.48	41.24	42.41	51.22	49.54	39.62	39.52	80.88	23.73	19.35	35.76	26.72	26.28	25.52	77.94	11.73	34.75	34.09	143.52	79.86	130.45	32.84	65.17	70.56	23.61	22.93	97.06	93.24	67.13	23.80	23.08	26.72	38.55	91.34	12.29	81.98	99.92	98.29	98.85	67.06	66.38	34.50	33.60	99.93	24.50	41.15	41.61	20.69	21.38	10.93	10.70	37.27	71.01	91.88	39.04	40.22	93.32	92.58	102.08	96.88	65.84	96.37	116.84	11.02	9.51	23.67	23.87	65.29	67.04	83.15	155.21	51.83	53.17	60.09	60.09	72.12	33.48	32.59	36.35	35.14	31.75	84.41	91.88	16.34	15.45	29.24	28.27	33.35	37.21	79.86	71.01	99.92	38.55	37.27	19.39	23.87	38.69	33.06	28.59	9.51	14.50	87.91	53.31	24.58	60.11	53.17	33.60	21.48	26.72	83.26	56.54	49.54	25.52	31.10	43.75	40.60	43.02	43.75	50.78	47.82	52.05	9.59	18.17	16.38	12.03	0.70	
A182FP32 March 23 2015 12_48.obj	99.40	102.49	22.12	29.49	31.16	24.46	22.73	44.26	42.98	55.68	54.86	23.11	22.73	51.90	56.31	62.83	62.35	48.13	48.65	104.61	23.19	18.59	45.50	33.60	36.52	35.01	96.44	13.34	41.11	40.96	152.08	106.02	150.25	36.96	80.37	87.84	28.38	28.38	108.18	105.96	87.81	27.87	27.62	33.60	37.57	104.58	14.18	101.23	118.70	111.16	118.68	81.81	81.28	44.04	42.79	118.71	28.00	55.65	54.87	22.82	22.84	14.67	11.63	40.89	78.29	113.98	52.88	55.26	116.02	115.46	121.12	112.97	82.03	108.18	138.22	12.95	12.12	25.48	24.61	81.88	82.46	88.33	174.54	67.56	66.39	75.29	75.29	88.78	39.50	38.80	43.81	43.86	41.21	91.68	113.98	17.99	17.56	37.79	40.24	43.20	44.65	106.02	78.29	118.70	37.57	40.89	23.49	24.61	37.64	29.49	31.16	12.12	21.70	96.12	65.87	28.35	72.67	66.39	42.79	22.73	33.60	102.34	68.74	62.35	35.01	38.10	49.74	41.89	46.87	52.41	59.57	58.35	60.31	11.48	21.71	14.81	14.62	1.49	
A183FA24 March 23 2015 01_11.obj	84.68	84.31	17.08	33.58	30.29	23.05	23.04	34.67	36.41	45.51	47.86	23.54	23.04	43.54	44.03	51.44	49.06	38.02	38.63	90.09	24.08	19.81	37.58	26.71	29.87	28.11	87.07	11.86	37.26	37.78	133.90	90.65	130.40	31.92	67.22	68.94	24.48	23.80	97.00	96.43	72.07	24.33	24.20	26.71	38.76	87.31	12.49	89.34	96.52	94.00	95.22	69.31	68.72	34.60	35.34	96.52	25.00	45.68	47.32	21.98	22.81	10.90	10.66	34.55	72.58	93.93	42.89	41.48	94.69	94.41	106.72	90.64	67.77	99.05	118.26	11.34	11.61	24.27	24.49	65.65	66.61	81.31	154.23	56.14	55.94	62.14	62.14	77.39	33.86	33.64	37.15	35.86	35.98	82.95	93.93	16.35	17.20	31.61	30.26	34.08	34.86	90.65	72.58	96.52	38.76	34.55	21.15	24.49	38.47	33.58	30.29	11.61	18.10	85.32	54.32	24.97	61.12	55.94	35.34	23.04	26.71	85.36	58.65	49.06	28.11	28.90	43.55	39.34	42.70	41.88	46.97	46.86	49.61	9.63	17.15	15.54	12.30	0.48	
A184FA24 March 23 2015 01_02.obj	88.72	83.82	17.71	34.45	30.98	23.33	24.31	39.35	37.93	48.23	49.34	23.46	24.31	45.30	45.00	51.00	50.58	37.34	37.82	96.95	23.45	19.37	38.89	27.57	31.34	30.49	95.66	12.69	37.93	38.79	135.71	97.74	131.14	33.14	66.10	70.18	26.00	25.56	96.79	95.35	76.40	25.76	25.51	27.57	38.22	90.54	12.25	93.81	97.09	95.88	96.93	67.84	67.46	37.09	36.69	97.09	24.50	47.34	49.00	22.60	23.80	10.86	10.72	36.18	75.32	93.68	45.30	43.64	94.74	94.34	110.96	95.05	67.07	102.63	117.75	11.20	11.01	24.69	25.73	65.77	67.44	83.97	153.03	56.72	58.46	61.02	61.02	82.91	34.57	33.89	35.98	36.00	37.97	86.23	93.68	15.61	16.48	32.75	31.85	34.83	35.35	97.74	75.32	97.09	38.22	36.18	21.07	25.73	39.27	34.45	30.98	11.01	21.00	89.15	54.69	24.50	61.49	58.46	36.69	24.31	27.57	85.18	57.60	50.58	30.49	30.34	44.93	41.24	44.92	43.69	48.24	46.26	50.80	9.86	19.33	15.98	13.24	0.66	
A185FL40 March 23 2015 01_07.obj	101.10	93.13	18.06	33.11	33.39	25.83	27.41	44.67	45.42	59.00	59.55	25.83	25.54	49.29	47.63	54.43	55.12	41.14	41.91	98.73	25.12	18.59	41.56	28.90	35.58	33.55	95.57	17.97	44.01	45.32	143.76	98.92	143.13	34.67	75.06	83.51	27.30	26.74	104.85	104.54	83.95	26.98	26.55	28.90	39.59	104.69	13.07	97.53	119.53	115.95	118.98	75.60	75.70	43.92	43.82	119.52	26.00	58.22	59.04	25.92	25.81	11.80	9.26	38.70	85.18	103.96	45.88	47.63	105.44	105.32	118.43	118.06	75.93	106.75	128.84	12.80	11.00	25.83	25.84	73.06	73.35	97.50	166.65	69.68	72.90	69.98	69.98	86.30	40.48	40.96	40.89	40.95	40.42	99.64	103.96	16.70	16.08	37.02	37.15	40.18	43.33	98.92	85.18	119.53	39.59	38.70	21.72	25.84	39.90	33.11	33.39	11.00	21.00	100.80	59.90	26.15	66.70	72.90	43.82	25.54	28.90	94.70	65.81	55.12	33.55	32.90	51.98	47.59	50.25	50.71	62.84	56.64	62.84	10.83	22.34	17.74	14.16	1.36	
A186FR23b March 23 2015 01_34.obj	81.60	101.01	20.56	31.49	27.09	24.06	22.27	36.28	35.71	43.30	43.11	22.56	22.27	48.88	42.13	57.63	57.09	43.99	45.52	84.59	22.85	18.72	37.24	30.85	23.08	23.43	82.18	12.91	35.17	35.05	141.15	85.96	147.25	32.69	80.46	74.07	22.22	21.41	108.23	108.23	70.87	21.50	20.90	30.85	36.84	83.71	11.34	83.84	93.17	92.48	92.73	81.17	80.96	35.53	35.66	93.17	22.50	42.99	43.19	21.97	22.25	13.76	13.71	38.41	67.40	111.30	45.29	38.27	111.91	112.47	99.47	92.22	83.03	92.71	136.05	10.94	11.04	25.87	26.81	72.37	73.99	76.45	171.29	50.57	50.64	75.38	75.38	70.86	32.23	32.37	43.58	42.17	30.94	79.11	111.30	14.97	14.68	25.74	24.67	37.11	36.97	85.96	67.40	93.17	36.84	38.41	18.94	26.81	41.62	31.49	27.09	11.04	16.00	81.63	63.27	22.68	70.07	50.64	35.66	22.27	30.85	99.89	69.04	57.09	23.43	34.52	41.61	37.44	38.83	42.60	48.88	42.35	50.78	10.29	19.96	16.93	12.24	1.17	
A187FL25 March 23 2015 01_24.obj	76.86	90.27	17.70	25.04	28.49	21.73	21.85	34.90	34.88	42.50	42.56	21.80	21.85	37.20	35.56	54.85	53.14	42.72	43.66	84.03	20.76	18.70	35.20	26.68	24.93	23.23	80.63	15.26	33.36	33.56	134.49	83.00	137.42	30.66	72.57	67.79	22.15	21.58	101.73	99.34	61.52	21.74	21.64	26.68	35.60	83.59	13.09	81.94	91.38	89.42	90.24	73.79	73.54	34.55	34.45	91.37	26.50	42.41	42.46	20.70	21.67	11.41	11.38	35.64	62.68	99.25	36.34	34.25	100.66	100.34	101.11	89.79	72.73	91.56	124.60	11.29	10.93	24.71	25.36	68.44	69.81	73.33	160.57	50.12	50.45	67.49	67.49	71.73	32.07	31.52	38.23	37.86	35.65	75.09	99.25	15.15	15.19	26.62	26.48	33.27	34.52	83.00	62.68	91.38	35.60	35.64	16.16	25.36	39.92	25.04	28.49	10.93	17.50	78.59	56.66	26.18	63.46	50.45	34.45	21.85	26.68	90.33	63.65	53.14	23.23	31.38	40.77	34.26	38.87	37.85	46.73	45.62	45.70	8.97	20.79	15.53	10.66	1.10	
A188FA28a March 23 2015 03_02.obj	120.20	88.54	10.32	33.85	33.88	27.32	27.45	48.45	47.68	63.94	64.79	27.56	27.45	67.58	65.33	59.39	70.09	40.65	51.95	113.20	33.55	20.51	42.49	29.14	39.66	38.99	114.57	16.80	48.53	47.23	154.70	114.64	144.81	40.02	78.21	89.59	30.80	30.68	104.96	102.81	103.83	29.76	30.36	30.01	44.09	117.50	14.50	106.06	124.42	120.87	122.87	80.15	79.74	47.44	47.93	124.42	28.96	63.54	65.01	27.85	27.96	9.54	9.54	42.77	96.09	107.36	66.95	65.33	109.41	108.84	129.29	122.28	78.37	115.87	130.74	12.59	11.15	32.51	30.96	76.47	89.24	117.27	171.74	75.01	78.27	73.13	73.13	95.78	45.51	44.13	42.71	41.41	41.79	116.02	107.69	19.60	21.06	41.23	40.36	45.53	44.06	114.64	96.09	124.42	44.09	42.77	28.81	30.96	39.96	33.85	33.88	11.15	28.20	115.45	61.51	28.64	68.31	78.27	47.93	27.45	29.14	97.82	68.67	70.09	38.99	38.43	60.12	55.86	59.70	60.30	61.78	60.90	63.48	18.82	23.15	22.11	17.15	1.16	
A189FA31a March 24 2015 03_45.obj	123.17	81.97	10.58	38.50	39.57	23.82	25.08	45.69	45.59	63.00	64.67	23.82	24.23	48.19	52.44	50.05	50.88	35.98	37.28	119.33	22.84	19.77	46.04	25.18	36.49	37.87	113.56	16.19	44.52	44.91	140.94	118.83	135.39	34.47	71.39	81.74	28.61	28.90	100.83	98.49	104.94	28.05	28.96	25.18	39.39	122.18	9.03	114.86	125.11	122.88	122.68	72.89	72.36	46.48	48.36	125.10	18.00	63.66	65.64	24.10	24.39	8.64	8.64	37.94	111.03	96.57	47.85	50.37	96.97	96.97	130.02	122.34	73.64	117.85	121.15	14.67	13.13	27.24	27.80	67.80	71.60	120.07	155.56	73.79	76.71	66.31	66.31	106.86	43.41	42.97	37.42	36.73	49.59	120.40	96.57	15.29	16.47	37.99	39.36	39.27	42.47	118.83	111.03	125.11	39.39	37.94	24.83	27.80	45.55	38.50	39.57	13.13	22.20	122.16	54.76	18.05	61.56	76.71	48.36	24.23	25.18	87.93	62.75	50.88	37.87	29.16	63.85	56.48	64.06	59.02	62.85	62.85	62.21	14.60	19.57	13.18	14.78	0.40	
